City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
330,Hami,CN,42.8,93.45,89.91,12,76,6.76
331,Dharchula,IN,29.85,80.5333,72.3,56,80,1.74
332,Cortez,US,37.3489,-108.5859,61.93,22,0,0.0
333,Hannibal,US,39.7084,-91.3585,56.35,58,0,3.44
334,Chitral,PK,35.8462,71.7858,62.08,37,100,4.72
335,Pangnirtung,CA,66.1451,-65.7125,25.45,98,100,7.92
336,Alofi,NU,-19.0595,-169.9187,79.79,73,4,11.25
337,Pokrovsk,UA,48.282,37.1758,46.09,90,70,10.49
338,Tignere,CM,7.3667,12.65,66.4,92,100,2.51
339,Strezhevoy,RU,60.7333,77.5889,47.91,79,100,13.91
340,Kajaani,FI,64.2273,27.7285,44.65,76,0,3.44
341,Frederick,US,39.4668,-77.3997,71.26,98,100,7.09
342,Ushtobe,KZ,45.2514,77.9838,63.57,30,100,6.69
343,Todos Santos,MX,23.45,-110.2167,79.05,88,88,7.16
344,Kiunga,PG,-6.1219,141.2906,87.21,65,72,3.98
345,Inhambane,MZ,-23.865,35.3833,65.86,96,98,7.38
346,Mahina,PF,-17.5065,-149.489,83.97,65,40,5.75
347,Bonthe,SL,7.5264,-12.505,76.8,89,100,7.83
348,Dwarka,IN,22.2394,68.9678,83.88,76,77,24.7
349,Kluang,MY,2.0251,103.3328,87.82,64,87,2.77
350,Denpasar,ID,-8.65,115.2167,85.71,74,20,6.91
351,Kenora,CA,49.8167,-94.4337,40.42,73,2,5.66
352,Taldan,RU,53.6667,124.8,42.93,91,100,10.92
353,Acapulco,MX,16.8634,-99.8901,80.42,78,100,5.75
354,Krasnyy,RU,54.5678,31.4333,37.92,82,32,4.7
355,Tombouctou,ML,20.0,-3.0,83.34,12,0,9.89
356,Tres Arroyos,AR,-38.3739,-60.2798,53.92,50,100,7.85
357,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,78,100,13.8
358,Berdigestyakh,RU,62.0989,126.6992,57.81,37,7,7.56
359,Ponta Delgada,PT,37.7333,-25.6667,67.5,94,75,6.91
360,Olafsvik,IS,64.8945,-23.7142,40.95,71,0,12.97
361,Jumla,NP,29.2747,82.1838,57.87,69,41,3.98
362,Christchurch,NZ,-43.5333,172.6333,60.33,58,0,8.05
363,Marfino,RU,55.7028,37.3822,38.95,69,0,4.47
364,Bosaso,SO,11.2842,49.1816,86.41,44,81,3.89
